Device,Acc_x,Acc_y,Acc_z
2.0,-4039.404577896243,-49.43153729326412,557.3067264478715
2.0,-3984.7769209595976,13.930721162650428,582.2756984194772
2.0,-4026.2536924393453,-47.454274580126906,668.1688007761221
2.0,-4016.137269676709,0.9950515542171713,658.181236415613
2.0,-3981.7424582653357,-17.79535296754759,700.129043371951
2.0,-4025.24187916615,-1.9772614010792897,699.1302991499666
2.0,-3998.9396196896914,-45.477011866989685,657.1824921936285
2.0,-3952.4052475319536,-151.2604964072587,628.2185433340854
2.0,-4019.172220933633,-0.9886307005396449,544.3229294214093
2.0,-4060.648503850718,0.9950515542171713,534.3353039905674
2.0,-4003.997953211675,155.22803744820297,517.3564079355021
2.0,-3928.1263703205545,83.58433079279837,503.37380561672273
2.0,-4100.101893065405,-275.82797481388343,442.44958362618434
2.0,-3967.5797595352424,0.9950515542171713,488.39245907595904
2.0,-3974.6609867596235,23.881236824100135,439.4533204250649
2.0,-3983.7655962490644,-25.704398094752772,459.42851021641593
2.0,-4053.567276626337,-22.738505933494842,438.4545762030805
2.0,-4034.346732936922,32.83670111024966,414.48440952379195
2.0,-4049.5207563775484,32.83670111024966,418.4794169468958
2.0,-4050.532569650744,48.75752693194835,440.4520951822156
2.0,-4021.1953589173613,58.708040684950156,447.44339634160525
2.0,-4008.0444734604635,64.67834511985545,460.42725443840027
2.0,-3979.7190760002763,68.65855062105616,466.4197808406392
2.0,-3933.1844595612074,73.63381322290077,462.4247734175354
2.0,-3889.6845500977315,49.752576398800635,465.42103661865485
2.0,-3701.523190639058,41.792165396399184,444.4471331404858
2.0,-3532.5823748698,57.71298740120208,429.4657560645557
2.0,-3313.0604224126846,93.53484072890438,358.55396971350814
2.0,-2929.655743426964,30.8465983596493,285.64466438332545
2.0,-2850.749453560251,37.81195989519846,192.76021506454126
2.0,-2992.376440861186,148.2626759126538,44.94408924193656
2.0,-2913.469906713142,192.04494405965337,-44.45199213433461
2.0,-2844.6795510464026,183.08948359039962,-163.9784695427926
2.0,-2894.2491187423957,196.0251419270625,-147.18548684823708
2.0,-2851.7610225521153,158.21320111634301,-136.3194410185345
2.0,-2923.586085194447,147.26762644580154,-257.8215704101031
2.0,-3141.0846553865026,283.589708756228,-295.3587863288942
2.0,-3551.803162840546,393.04533332097725,-364.50634237195624
2.0,-3919.0217608311136,464.6890476101735,-508.72839132293325
2.0,-4266.008001859071,761.2143994354811,-1207.118640180494
2.0,-4385.379005651005,801.0165002502379,-941.3944160351988
2.0,-4819.364821324583,998.0366611089863,-1247.6192634613788
2.0,-5053.049228230461,1165.2053379621661,-1214.033389677767
2.0,-5314.047707885992,1164.2102579601476,-1345.4136301259525
2.0,-5406.105616053597,1164.2102579601476,-1358.2553775584113
2.0,-5255.373774981889,1106.4973278123825,-1216.9967665046943
2.0,-5079.351487706919,1009.9773157815464,-945.3457276352117
2.0,-5150.165225638718,914.4523837527291,-781.3672428248359
2.0,-5738.9291583514605,840.8185399946619,-767.53774383029
2.0,-5662.0455179058135,542.3030892356497,-802.1115523869875
2.0,-4150.683274034594,371.1542450502271,-478.10586383108233
2.0,-3645.8839647105483,355.23342304542416,-128.41686362125836
2.0,-3509.3148223689345,-5.931784322515863,-18.76861941008294
2.0,-3405.117842017627,-398.4181790566835,223.72169817080263
2.0,-4243.75201835007,-561.5422593765571,-211.39393392644945
2.0,-4609.959047348773,207.96576606445626,-388.21405929620147
2.0,-4364.135323977861,-121.60158242847099,-320.05434642072584
