Device,Acc_x,Acc_y,Acc_z
2.0,-4069.75335762149,121.39628687110104,-561.0829494038567
2.0,-4084.9276253434477,184.08453305725192,-655.9138781711704
2.0,-4045.4744804100915,308.4659759627014,-908.796354884007
2.0,-4096.055617097949,212.94102866630087,-469.21548906896936
2.0,-3993.8817747303697,-34.60207648697447,-398.0922772259009
2.0,-4017.1490829499044,42.78721486325147,-346.7255623125639
2.0,-4046.4858051206247,54.727835183749434,-289.4318799992077
2.0,-4146.636509504475,-9.886306886118454,-161.01500111036614
2.0,-4199.241028457392,-0.0,-182.74707750218815
2.0,-4238.693929109417,40.79711211265111,-275.60235046949543
2.0,-4176.98504494839,-25.704398094752772,-242.01640034796762
2.0,-4177.996858221586,-310.4300283994831,-143.23419051580743
2.0,-4097.067186089813,-276.81661189579575,-262.7606641073696
2.0,-4115.276160787364,-213.54423561057106,-278.5658189019219
2.0,-4067.7302196377614,-100.84033348276967,-328.9447517180052
2.0,-3987.811872216522,-53.386058902642766,-357.59159287468333
2.0,-4080.8811050946597,-29.658921612579316,-355.6159370746769
2.0,-4061.6603171239135,4.975257830724853,-396.1166519610608
2.0,-4119.322925317483,-68.21551589203662,-472.1789575013958
2.0,-3935.207597544936,305.48079702697817,-557.1316378038438
2.0,-4159.787639242704,21.891134073499774,-486.9962996635281
2.0,-4121.346063301212,208.96081553130853,-570.9611367983896
2.0,-4362.111697431471,62.68824618615088,-579.8515726308353
2.0,-4469.343873321033,242.79257374220208,-660.8529413332705
2.0,-4495.645644234829,439.81278040370006,-905.8328559164141
2.0,-4738.434904911479,748.2787258312351,-1289.1077604450163
2.0,-4951.886954854746,949.2792066980581,-1765.2380906167577
2.0,-4788.004961170134,924.4028784212519,-1843.2760824922657
2.0,-4666.6098422691475,723.4024586247616,-1835.3734592922399
2.0,-4569.494333423552,568.1744364441419,-1648.6749785845398
2.0,-4387.402632197396,517.4267609588436,-1542.9781108606057
2.0,-4335.809926517674,545.2882071010403,-1452.0983715526393
2.0,-4449.111516358423,422.8969089320449,-1274.2905098883832
2.0,-4356.042283480285,213.93607813315313,-1199.2158948398028
2.0,-4356.042283480285,115.42597480240416,-1065.8600291267771
2.0,-4380.320916410353,0.9950515542171713,-997.700285716135
2.0,-4267.019326569604,-144.34008263662213,-905.8328559164141
2.0,-3870.4640064083164,-306.47554114216666,-805.0749902842475
2.0,-3520.4428141234353,-404.349971012991,-721.1101226142196
2.0,-3132.991859170257,-423.1339534286593,-668.7555645332961
2.0,-2930.6675567001594,-347.9980237659861,-878.1737968569896
2.0,-2862.8887700252844,-482.45178138623476,-935.4675402406787
2.0,-2919.5398092269897,-365.7933690997421,-926.5771654785657
2.0,-2784.994049150436,-488.3835733425422,-905.8328559164141
2.0,-2598.855827675491,-888.7790265630504,-309.1883158586064
2.0,-2910.4349554562177,-1113.198209004324,64.91923704743385
2.0,-3804.70835771717,-1304.9925204183235,1126.5985057002208
2.0,-3738.953197588686,-2042.511203249947,2268.1785411522037
2.0,-3591.256307773903,-3141.8685541778314,3165.062822279383
2.0,-3781.4412937789666,-2644.5872470980785,2227.229417347517
2.0,-3513.361586899054,-1431.53721191844,30.961485014709293
2.0,-2905.3771104968964,-230.35095912999793,-731.9761837115053
2.0,-1555.8739666078911,440.8078298705523,-1544.9537361254459
