Device,Acc_x,Acc_y,Acc_z
2.0,-3959.4864747563347,198.01525612835025,-311.1639411234465
2.0,-4038.393008904379,287.5698760884707,-321.0421895883122
2.0,-4022.207172190557,260.7035099482927,-182.74707750218815
2.0,-4030.2999684068022,176.12412205485046,-155.08806424551324
2.0,-4024.2303101742855,182.09443412354736,-191.6374827994675
2.0,-4028.276830423074,130.35175497414636,-214.3573870912927
2.0,-4055.5906588913967,273.6391530173724,-352.6524991774168
2.0,-4103.13684432233,332.34722423748894,-403.03140145833373
2.0,-4078.857967110931,302.4956791615877,-435.6295236798584
2.0,-3840.1152266830695,143.2874285783924,-371.4210918692292
2.0,-4105.159982306059,8.955464286149525,-511.69182922019337
2.0,-4072.788064597083,314.43630329898144,-526.509201917492
2.0,-4035.358057647455,291.5501044910462,-633.1940044145115
2.0,-4049.5207563775484,253.73814841274356,-609.4861958847671
2.0,-4085.939194335312,175.1290725879982,-538.3630756471978
2.0,-3996.9164817059627,90.54969232834753,-412.90961938803315
2.0,-3846.1851291969174,32.83670111024966,-187.68620173462102
2.0,-3649.9302406780057,1.9901031084343426,-209.41827812644303
2.0,-3922.056712088038,81.59422422530221,-46.42763648365365
2.0,-4069.75335762149,160.20330005004757,-74.08665737412015
2.0,-4277.135505050909,119.40618793739647,-214.3573870912927
2.0,-4656.493663787842,154.2329879813507,-312.15178429103287
2.0,-4835.550902319736,87.5645362939991,-349.689000209824
2.0,-5071.258447209343,72.6387561222569,-574.9124483984025
2.0,-5430.384248983664,387.07506705502993,-817.9166766463733
2.0,-5260.431864222543,938.3335709571838,-1676.334098714297
2.0,-5081.374625690648,1311.4779454762818,-2104.0610602644624
2.0,-5116.781738937878,1187.0964873032492,-2155.427805712966
2.0,-5044.9566762955465,1357.2502820218197,-2089.2436875671638
2.0,-5075.305211739462,1249.784695320442,-1588.4178583739233
2.0,-4576.575560647933,995.051482173263,-1265.4000129856047
2.0,-4516.890303033298,850.7690957335175,-1157.7275199968308
2.0,-4481.483189786067,784.10056770825,-1020.4202816134593
2.0,-4350.984194239632,770.169875172318,-1007.5785341810008
2.0,-4052.5557076344726,595.0408025843199,-932.5040412730858
2.0,-3816.8479184635353,450.75835507424154,-770.5012427978828
2.0,-3582.151698284462,365.183917713947,-666.7799392684561
2.0,-3464.8035881949254,304.4857475601259,-553.1803872741636
2.0,-3352.5135673460413,271.6490540836678,-491.9353933607946
2.0,-3206.840304077649,220.9014549362855,-416.860930988046
2.0,-3293.8396344419384,242.79257374220208,-305.23703479375996
2.0,-3445.582800224179,325.3818474343566,476.40737573631475
2.0,-3480.9894249087474,277.6193814199479,-163.9784695427926
2.0,-3429.396963510357,230.8519496048083,-122.48993439019704
2.0,-3241.2353597703527,228.86186593868695,236.70554100001445
2.0,-3077.3526332417473,119.40618793739647,144.81985117079782
2.0,-2954.946433911558,153.23792324691522,155.80617502087452
2.0,-3064.201503503518,172.14390891985815,135.83103103227302
2.0,-3290.8046831850147,130.35175497414636,136.82979052184058
2.0,-3479.978100198214,119.40618793739647,161.79871669069666
2.0,-3615.5354292666325,134.33196810913867,282.6483706470396
2.0,-3794.592179235865,195.0301077277934,340.5763599716249
2.0,-3817.8597317367303,180.1043199222596,378.5290984345264
2.0,-4025.24187916615,165.17856265189218,372.5366025674539
2.0,-4171.926955707738,225.8767022705469,291.63719078556437
2.0,-4146.636509504475,153.23792324691522,225.71920188235455
2.0,-4058.6253658669893,8.955464286149525,246.69312062810678
2.0,-3968.5910842457756,-10.874938242687065,320.60117018027387
2.0,-3967.5797595352424,-13.840830403944997,444.4471331404858
2.0,-4005.0095222035393,18.90597994759923,515.3589194915334
2.0,-4028.276830423074,11.940618412050068,575.284366724921
2.0,-4053.567276626337,26.866390950000678,618.2309179032435
2.0,-4066.718406364566,-6.9204152019724985,582.2756984194772
2.0,-4060.648503850718,-7.909045604317159,510.36513731127883
2.0,-4072.788064597083,-46.465645132006195,459.42851021641593
2.0,-4064.6952683808377,-49.43153729326412,410.4893410303554
2.0,-4034.346732936922,-57.34058051202141,402.49929564898133
2.0,-4037.381439912515,-71.18141187019036,416.4818979677607
2.0,-4038.393008904379,-74.14730784834408,458.4297049240988
2.0,-4046.4858051206247,-80.07908453706835,492.3874970342292
2.0,-4007.032904468599,-72.17004131831106,512.3626868255803
2.0,-4017.1490829499044,-92.93129026401239,505.37132459585786
2.0,-4026.2536924393453,-93.9199197121331,476.40737573631475
