Device,Acc_x,Acc_y,Acc_z
2.0,-3560.907772329987,-903.6084911862358,1585.0282106243196
2.0,-3462.7804502111967,-995.5510985655862,1800.7598939489146
2.0,-3388.932005303805,-1179.4365576056184,1939.5871729147239
2.0,-3389.9438185770005,-1189.3227452137432,2086.404405656408
2.0,-3411.1877445314753,-927.3356590114656,2121.3610641291884
2.0,-3486.0477584307314,-741.4730479482745,2053.4454799089276
2.0,-4142.590233537017,-112.7039021278014,1531.0952897931709
2.0,-3405.117842017627,-331.191284978976,1677.9126446755206
2.0,-2917.51642696193,-369.7478868922249,1867.6767339471912
2.0,-3292.8280654500745,-142.36282374038072,1285.401035527714
2.0,-3526.512472355952,174.1340231211459,1357.3114744952468
2.0,-3593.2796900389626,25.871339574700496,1377.2867253569307
2.0,-3546.7450735998937,-148.29461569668817,1666.9263360930272
2.0,-3417.257402763992,-309.44142185273716,1888.6506068901938
2.0,-3479.978100198214,-175.9762555116513,1969.549988136917
2.0,-3685.337109643905,133.3369186422864,1866.6779897252068
2.0,-3802.6852197334415,308.4659759627014,1654.9412832885491
2.0,-3877.5454779140287,405.9810374603897,1511.120283212818
2.0,-3928.1263703205545,377.1245113161744,1357.3114744952468
2.0,-3926.102988055495,250.7529847446035,1391.2693887460428
2.0,-3845.173315923722,165.17856265189218,1291.3936230002857
2.0,-4022.207172190557,145.2775122445138,1461.182339269607
2.0,-3907.8940133579445,92.5397912620521,1353.3164976073094
2.0,-3765.2552127838135,78.60907582474536,1114.613452895743
2.0,-3674.2093621707354,114.43093296934347,1129.5948605068395
2.0,-4405.611362613616,178.1142362561382,996.7600468729363
2.0,-4856.79458399288,-259.0212665620397,753.0632199811154
2.0,-4207.334068954968,-310.4300283994831,473.4110820000289
2.0,-4987.294068101977,97.5150538638967,-65.19625971063239
2.0,-4694.935239729334,-483.440418468147,-478.10586383108233
2.0,-4549.261976460942,-979.733027395655,-664.8043140036161
2.0,-4537.122659995908,-908.5516460606309,-858.4174220679237
2.0,-4232.624515158232,-620.8600567989662,-1323.6816300720466
2.0,-3561.9193413218513,-1246.663390612993,-702.3414993872408
